SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,ID
O=C(O)[C@H](O)C1=CC=C(I)C(Br)=C1,19/000000012,"InChI=1S/C8H6BrIO3/c9-5-3-4(1-2-6(5)10)7(11)8(12)13/h1-3,7,11H,(H,12,13)/t7-/m1/s1",C8H5O3BrI,356.0,1.92,4.45,4.31,2.22,-150.0,2.948545535860312,1,DRUGLIKE_CONCAT,Druglike_299
O=C(C1=CC=C(C2=CC=C(O)C=C2CF)N1)C1=NC(=O)ON1,23/000000218,"InChI=1S/C14H10FN3O4/c15-6-7-5-8(19)1-2-9(7)10-3-4-11(16-10)12(20)13-17-14(21)22-18-13/h1-5,16,19H,6H2,(H,17,18,21)",C14H10N3O4F,303.0,1.69,4.45,5.29,3.58,-120.0,3.2967628112810505,1,DRUGLIKE_CONCAT,Druglike_300
C=CC1=NC=C(C(=O)OCC2=C([C@@H](O)NCCN)OC=C2)C=C1Br,13/000000077,"InChI=1S/C16H18BrN3O4/c1-2-13-12(17)7-11(8-20-13)16(22)24-9-10-3-6-23-14(10)15(21)19-5-4-18/h2-3,6-8,15,19,21H,1,4-5,9,18H2/t15-/m1/s1",C16H18N3O4Br,396.0,0.7,4.45,8.35,3.7,-150.0,3.740078240006966,1,DRUGLIKE_CONCAT,Druglike_301
CC(=O)NCC(=O)/C=C/C(=O)C1=NN=C(C2=CC=CC=N2)N1,23/000000574,"InChI=1S/C14H13N5O3/c1-9(20)16-8-10(21)5-6-12(22)14-17-13(18-19-14)11-4-2-3-7-15-11/h2-7H,8H2,1H3,(H,16,20)(H,17,18,19)/b6-5+",C14H13N5O3,299.0,0.75,4.44,3.5,24.3,-200.0,3.1130891140105783,1,DRUGLIKE_CONCAT,Druglike_302
NC1=CC=C(C#C[C@@H](O)CCCN2C=NN=C2CO)C(Cl)=C1,15/000000044,"InChI=1S/C15H17ClN4O2/c16-14-8-12(17)5-3-11(14)4-6-13(22)2-1-7-20-10-18-19-15(20)9-21/h3,5,8,10,13,21-22H,1-2,7,9,17H2/t13-/m0/s1",C15H17N4O2Cl,320.0,2.84,4.44,1.19,3.58,-190.0,3.506794666319516,1,DRUGLIKE_CONCAT,Druglike_303
C=CC1=C(Br)C=CN=C1C1=C(C(N)=O)N=C(CNCCO)O1,7/000000060,"InChI=1S/C14H15BrN4O3/c1-2-8-9(15)3-4-18-11(8)13-12(14(16)21)19-10(22-13)7-17-5-6-20/h2-4,17,20H,1,5-7H2,(H2,16,21)",C14H15N4O3Br,367.0,-0.02,4.44,5.49,22.9,-140.0,3.190149586694954,1,DRUGLIKE_CONCAT,Druglike_304
NCC1=NC=C(/C=C/[C@@H]2C=CC=C(CO)N2)C=C1Br,13/000000050,"InChI=1S/C14H16BrN3O/c15-13-6-10(8-17-14(13)7-16)4-5-11-2-1-3-12(9-19)18-11/h1-6,8,11,18-19H,7,9,16H2/b5-4+/t11-/m0/s1",C14H16N3OBr,322.0,0.74,4.44,5.91,2.35,-150.0,4.197057142649003,1,DRUGLIKE_CONCAT,Druglike_305
C=CC1=C(CCN)N=C(C(=O)C2=CCCN2)O1,7/000000099,"InChI=1S/C12H15N3O2/c1-2-10-8(5-6-13)15-12(17-10)11(16)9-4-3-7-14-9/h2,4,14H,1,3,5-7,13H2",C12H15N3O2,233.0,0.03,4.44,3.18,3.58,0.0,4.063808889532864,1,DRUGLIKE_CONCAT,Druglike_306
NC1=CC=C(C2=CNC(/C=C/CO)=NC2)C(F)=C1,12/000000028,"InChI=1S/C13H14FN3O/c14-12-6-10(15)3-4-11(12)9-7-16-13(17-8-9)2-1-5-18/h1-4,6-7,18H,5,8,15H2,(H,16,17)/b2-1+",C13H14N3OF,247.0,0.88,4.44,5.23,2.22,-160.0,3.504029905629923,1,DRUGLIKE_CONCAT,Druglike_307
NC[C@H](C#CC1=C(O)C=C2OCNC2=C1)CCCCCl,21/000000159,"InChI=1S/C15H19ClN2O2/c16-6-2-1-3-11(9-17)4-5-12-7-13-15(8-14(12)19)20-10-18-13/h7-8,11,18-19H,1-3,6,9-10,17H2/p+1/t11-/m0/s1",C15H20N2O2Cl,295.0,2.75,4.44,1.76,17.9,-190.0,4.4185322266346825,1,DRUGLIKE_CONCAT,Druglike_308
O=C(C1=CC=C(C2=CC=CC=C2)N1)C1=NC(=O)ON1,23/000000025,"InChI=1S/C13H9N3O3/c17-11(12-15-13(18)19-16-12)10-7-6-9(14-10)8-4-2-1-3-5-8/h1-7,14H,(H,15,16,18)",C13H9N3O3,255.0,1.77,4.44,4.92,3.58,-120.0,2.737290062405636,1,DRUGLIKE_CONCAT,Druglike_309
CCCCC1=CC(C2=NNN=C2)=CC(O)=C1,28/000000345,"InChI=1S/C12H15N3O/c1-2-3-4-9-5-10(7-11(16)6-9)12-8-13-15-14-12/h5-8,16H,2-4H2,1H3,(H,13,14,15)",C12H15N3O,217.0,3.8,4.44,3.19,15.0,-140.0,2.4867789101309405,1,DRUGLIKE_CONCAT,Druglike_310
C=CCC1=NC(C[C@@H](CN)C2=CCC(CN)=CO2)=CC=C1O,12/000000016,"InChI=1S/C17H23N3O2/c1-2-3-15-16(21)6-5-14(20-15)8-13(10-19)17-7-4-12(9-18)11-22-17/h2,5-7,11,13,21H,1,3-4,8-10,18-19H2/p+1/t13-/m0/s1",C17H24N3O2,302.0,0.14,4.44,6.81,7.96,-150.0,4.696500869793461,1,DRUGLIKE_CONCAT,Druglike_311
NCCC1=CC(=O)N[C@@H]1/C=C/C1=CN=CC(Br)=C1,13/000000113,"InChI=1S/C13H14BrN3O/c14-11-5-9(7-16-8-11)1-2-12-10(3-4-15)6-13(18)17-12/h1-2,5-8,12H,3-4,15H2,(H,17,18)/p+1/b2-1+/t12-/m1/s1",C13H15N3OBr,309.0,0.4,4.44,3.36,2.22,-150.0,4.429176415463309,1,DRUGLIKE_CONCAT,Druglike_312
NCC(=O)OC/C=C/CCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000447,"InChI=1S/C15H18N4O3/c16-9-15(21)22-5-3-1-2-4-11-6-12(8-13(20)7-11)14-10-17-19-18-14/h1,3,6-8,10,20H,2,4-5,9,16H2,(H,17,18,19)/p+1/b3-1+",C15H19N4O3,303.0,2.35,4.44,3.8,22.6,-120.0,3.4313761044395035,1,DRUGLIKE_CONCAT,Druglike_313
O=C(O)C1=CN=C(O)N=C1CCCC1=NN=CO1,29/000000121,"InChI=1S/C10H10N4O4/c15-9(16)6-4-11-10(17)13-7(6)2-1-3-8-14-12-5-18-8/h4-5H,1-3H2,(H,15,16)(H,11,13,17)",C10H10N4O4,250.0,0.96,4.43,6.14,3.85,0.0,3.2184624848154444,1,DRUGLIKE_CONCAT,Druglike_314
NC(=O)C1=C(C[C@H](O)/C=C/C2=CC=C(Cl)C(Cl)=C2)COC1=O,13/000000174,"InChI=1S/C15H13Cl2NO4/c16-11-4-2-8(5-12(11)17)1-3-10(19)6-9-7-22-15(21)13(9)14(18)20/h1-5,10,19H,6-7H2,(H2,18,20)/b3-1+/t10-/m1/s1",C15H13NO4Cl2,341.0,1.74,4.43,6.32,3.7,-150.0,3.332776428106116,1,DRUGLIKE_CONCAT,Druglike_315
N[C@@H](C#CC1=CC2=C(C=C1O)OCN2)CCNC(=O)CCF,21/000000220,"InChI=1S/C15H18FN3O3/c16-5-3-15(21)18-6-4-11(17)2-1-10-7-12-14(8-13(10)20)22-9-19-12/h7-8,11,19-20H,3-6,9,17H2,(H,18,21)/p+1/t11-/m0/s1",C15H19N3O3F,308.0,1.31,4.43,1.41,22.5,-190.0,4.348926676245073,1,DRUGLIKE_CONCAT,Druglike_316
N[C@@H](CCCCCCO)CC1=CCC(CO)=CO1,12/000000010,"InChI=1S/C14H25NO3/c15-13(5-3-1-2-4-8-16)9-14-7-6-12(10-17)11-18-14/h7,11,13,16-17H,1-6,8-10,15H2/t13-/m0/s1",C14H25NO3,255.0,0.41,4.43,6.73,3.58,-150.0,3.796637953924848,1,DRUGLIKE_CONCAT,Druglike_317
CC[C@@H](/C=C/C1=CC=CC=C1N)NCCO,27/000000029,"InChI=1S/C13H20N2O/c1-2-12(15-9-10-16)8-7-11-5-3-4-6-13(11)14/h3-8,12,15-16H,2,9-10,14H2,1H3/b8-7+/t12-/m0/s1",C13H20N2O,220.0,1.49,4.43,5.52,2.22,-170.0,3.1358669308830756,1,DRUGLIKE_CONCAT,Druglike_318
O=C(O)C1=CN=C(O)N=C1[C@@H](O)CBr,29/000000132,"InChI=1S/C7H7BrN2O4/c8-1-4(11)5-3(6(12)13)2-9-7(14)10-5/h2,4,11H,1H2,(H,12,13)(H,9,10,14)/t4-/m0/s1",C7H7N2O4Br,263.0,0.15,4.43,4.99,2.74,-150.0,3.736673053700894,1,DRUGLIKE_CONCAT,Druglike_319
CC(=O)CC/C=C/C1=CC(C2=NNN=C2)=CC(O)=C1,28/000000438,"InChI=1S/C14H15N3O2/c1-10(18)4-2-3-5-11-6-12(8-13(19)7-11)14-9-15-17-16-14/h3,5-9,19H,2,4H2,1H3,(H,15,16,17)/b5-3+",C14H15N3O2,257.0,3.07,4.43,0.76,19.4,-140.0,2.8563771486527223,1,DRUGLIKE_CONCAT,Druglike_320
O=C(C1=CC=C(C2=CC=C(O)C=C2)N1)C1=NC(=O)ON1,23/000000251,"InChI=1S/C13H9N3O4/c17-8-3-1-7(2-4-8)9-5-6-10(14-9)11(18)12-15-13(19)20-16-12/h1-6,14,17H,(H,15,16,19)",C13H9N3O4,271.0,1.37,4.42,5.73,3.58,-120.0,2.86919352818496,1,DRUGLIKE_CONCAT,Druglike_321
O=C1C=C(CCO)[C@@H](/C=C/C2=CN=CC(Br)=C2)N1,13/000000145,"InChI=1S/C13H13BrN2O2/c14-11-5-9(7-15-8-11)1-2-12-10(3-4-17)6-13(18)16-12/h1-2,5-8,12,17H,3-4H2,(H,16,18)/b2-1+/t12-/m1/s1",C13H13N2O2Br,309.0,0.47,4.42,4.16,2.22,-150.0,3.840389085146567,1,DRUGLIKE_CONCAT,Druglike_322
O=C(O)C1=CN=C(O)N=C1C/C=C/C1=NC=NC=C1,29/000000108,"InChI=1S/C12H10N4O3/c17-11(18)9-6-14-12(19)16-10(9)3-1-2-8-4-5-13-7-15-8/h1-2,4-7H,3H2,(H,17,18)(H,14,16,19)/b2-1+",C12H10N4O3,258.0,-0.09,4.42,6.36,3.85,0.0,3.2184463794219544,1,DRUGLIKE_CONCAT,Druglike_323
NC[C@@H](/C=C/C1=C(N)C=CC(CCl)=C1)NCCO,27/000000023,"InChI=1S/C13H20ClN3O/c14-8-10-1-4-13(16)11(7-10)2-3-12(9-15)17-5-6-18/h1-4,7,12,17-18H,5-6,8-9,15-16H2/b3-2+/t12-/m1/s1",C13H20N3OCl,269.0,0.4,4.41,7.51,3.58,-150.0,3.521601266142042,1,DRUGLIKE_CONCAT,Druglike_324
NC(=O)/C=C/CCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000239,"InChI=1S/C13H14N4O2/c14-13(19)4-2-1-3-9-5-10(7-11(18)6-9)12-8-15-17-16-12/h2,4-8,18H,1,3H2,(H2,14,19)(H,15,16,17)/b4-2+",C13H14N4O2,258.0,2.08,4.41,0.54,20.2,-120.0,2.9377720204475946,1,DRUGLIKE_CONCAT,Druglike_325
NCC1=CC=CC=C1C#CC1=CC(C2=CNN=C2)=CC=C1,3/000000120,"InChI=1S/C18H15N3/c19-11-17-6-2-1-5-15(17)9-8-14-4-3-7-16(10-14)18-12-20-21-13-18/h1-7,10,12-13H,11,19H2,(H,20,21)",C18H15N3,273.0,4.37,4.41,3.47,18.8,-120.0,2.4849339430128143,1,DRUGLIKE_CONCAT,Druglike_326
NC1=C(C2=NN=C(CO)O2)N=C(C/C=C/C(=O)O)C=C1,21/000000200,"InChI=1S/C12H12N4O4/c13-8-5-4-7(2-1-3-10(18)19)14-11(8)12-16-15-9(6-17)20-12/h1,3-5,17H,2,6,13H2,(H,18,19)/b3-1+",C12H12N4O4,276.0,0.23,4.41,4.97,21.8,-120.0,3.059541619567261,1,DRUGLIKE_CONCAT,Druglike_327
OC1=CC(C2=NNN=C2)=CC(CCC2=CN=CN=C2)=C1,28/000000257,"InChI=1S/C14H13N5O/c20-13-4-10(1-2-11-6-15-9-16-7-11)3-12(5-13)14-8-17-19-18-14/h3-9,20H,1-2H2,(H,17,18,19)",C14H13N5O,267.0,2.24,4.41,1.62,17.8,-120.0,2.707800280397956,1,DRUGLIKE_CONCAT,Druglike_328
OCCC1=COC=C(C[C@H](O)/C=C/C2=CC=C(Cl)C(Cl)=C2)C1,13/000000183,"InChI=1S/C17H18Cl2O3/c18-16-4-2-12(9-17(16)19)1-3-15(21)8-14-7-13(5-6-20)10-22-11-14/h1-4,9-11,15,20-21H,5-8H2/b3-1+/t15-/m1/s1",C17H18O3Cl2,340.0,2.79,4.41,4.36,4.94,-170.0,3.783891936790979,1,DRUGLIKE_CONCAT,Druglike_329
OC1=C(I)C=CC(C2=NNN=C2)=C1,28/000000074,"InChI=1S/C8H6IN3O/c9-6-2-1-5(3-8(6)13)7-4-10-12-11-7/h1-4,13H,(H,10,11,12)",C8H6N3OI,287.0,3.68,4.41,3.65,14.3,-120.0,2.7902010805701565,1,DRUGLIKE_CONCAT,Druglike_330
CCC1=NC(CO)=C(C2=COC(C(=O)N/C=C\CN)=CC2)N1,23/000000521,"InChI=1S/C15H20N4O3/c1-2-13-18-11(8-20)14(19-13)10-4-5-12(22-9-10)15(21)17-7-3-6-16/h3,5,7,9,20H,2,4,6,8,16H2,1H3,(H,17,21)(H,18,19)/p+1/b7-3-",C15H21N4O3,305.0,-0.25,4.41,4.93,24.3,-140.0,4.411900776541596,1,DRUGLIKE_CONCAT,Druglike_331
OC1=CC2=C(C=C1C#C[C@H](O)CCNCCl)NCO2,21/000000232,"InChI=1S/C13H15ClN2O3/c14-7-15-4-3-10(17)2-1-9-5-11-13(6-12(9)18)19-8-16-11/h5-6,10,15-18H,3-4,7-8H2/p+1/t10-/m0/s1",C13H16N2O3Cl,283.0,1.44,4.41,1.07,17.9,-190.0,4.788272527264389,1,DRUGLIKE_CONCAT,Druglike_332
NCCC1=NC=C(/C=C/[C@@H]2C=CC(=O)N2)C=C1Br,13/000000036,"InChI=1S/C13H14BrN3O/c14-11-7-9(8-16-12(11)5-6-15)1-2-10-3-4-13(18)17-10/h1-4,7-8,10H,5-6,15H2,(H,17,18)/p+1/b2-1+/t10-/m1/s1",C13H15N3OBr,309.0,0.87,4.41,5.65,3.85,-150.0,4.579051528585482,1,DRUGLIKE_CONCAT,Druglike_333
CC1=CC(=O)N[C@@H]1/C=C/C1=CN=C(CCN)C(Br)=C1,13/000000147,"InChI=1S/C14H16BrN3O/c1-9-6-14(19)18-12(9)3-2-10-7-11(15)13(4-5-16)17-8-10/h2-3,6-8,12H,4-5,16H2,1H3,(H,18,19)/p+1/b3-2+/t12-/m1/s1",C14H17N3OBr,323.0,0.72,4.41,5.99,3.85,-170.0,4.541900635634006,1,DRUGLIKE_CONCAT,Druglike_334
NCC#CC(=O)C1=CCC(CF)=C(C(=O)O)O1,23/000000294,"InChI=1S/C11H10FNO4/c12-6-7-3-4-9(8(14)2-1-5-13)17-10(7)11(15)16/h4H,3,5-6,13H2,(H,15,16)",C11H10NO4F,239.0,0.17,4.41,4.36,3.85,0.0,4.053038488195071,1,DRUGLIKE_CONCAT,Druglike_335
OC1=CC(/C=C/CF)=CC(C2=NNN=C2)=C1,28/000000465,"InChI=1S/C11H10FN3O/c12-3-1-2-8-4-9(6-10(16)5-8)11-7-13-15-14-11/h1-2,4-7,16H,3H2,(H,13,14,15)/b2-1+",C11H10N3OF,219.0,3.54,4.41,1.16,18.1,-120.0,3.1328886091275967,1,DRUGLIKE_CONCAT,Druglike_336
OCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000348,"InChI=1S/C9H9N3O2/c13-5-6-1-7(3-8(14)2-6)9-4-10-12-11-9/h1-4,13-14H,5H2,(H,10,11,12)",C9H9N3O2,191.0,1.8,4.4,1.52,14.4,-120.0,2.6493163549229077,1,DRUGLIKE_CONCAT,Druglike_337
NCC#CC(=O)C1=CCC(CCl)=C(C(=O)O)O1,23/000000297,"InChI=1S/C11H10ClNO4/c12-6-7-3-4-9(8(14)2-1-5-13)17-10(7)11(15)16/h4H,3,5-6,13H2,(H,15,16)",C11H10NO4Cl,255.0,0.31,4.4,3.79,21.3,0.0,3.980132468128182,1,DRUGLIKE_CONCAT,Druglike_338
NCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000347,"InChI=1S/C9H10N4O/c10-4-6-1-7(3-8(14)2-6)9-5-11-13-12-9/h1-3,5,14H,4,10H2,(H,11,12,13)",C9H10N4O,190.0,1.73,4.4,1.61,14.6,-120.0,2.6968398164613703,1,DRUGLIKE_CONCAT,Druglike_339
O=C(CBr)C1=C[C@@H](CO)NC(/C=C/CNCC2=NNN=C2)=N1,18/000000045,"InChI=1S/C13H17BrN6O2/c14-5-12(22)11-4-9(8-21)17-13(18-11)2-1-3-15-6-10-7-16-20-19-10/h1-2,4,7,9,15,21H,3,5-6,8H2,(H,17,18)(H,16,19,20)/b2-1+/t9-/m0/s1",C13H17N6O2Br,369.0,0.77,4.4,5.64,6.77,-150.0,4.527920933600621,1,DRUGLIKE_CONCAT,Druglike_340
C/C=C/C1=C(C(=O)O)C=C(C2=NNC(C(=O)O)=N2)C=C1,6/000000011,"InChI=1S/C13H11N3O4/c1-2-3-7-4-5-8(6-9(7)12(17)18)10-14-11(13(19)20)16-15-10/h2-6H,1H3,(H,17,18)(H,19,20)(H,14,15,16)/b3-2+",C13H11N3O4,273.0,2.27,4.4,0.37,3.72,-200.0,2.705100131055774,1,DRUGLIKE_CONCAT,Druglike_341
O=C(O)C1=NC(C2=CC=C(CCCCCO)C(C(=O)O)=C2)=NN1,6/000000008,"InChI=1S/C15H17N3O5/c19-7-3-1-2-4-9-5-6-10(8-11(9)14(20)21)12-16-13(15(22)23)18-17-12/h5-6,8,19H,1-4,7H2,(H,20,21)(H,22,23)(H,16,17,18)",C15H17N3O5,319.0,1.86,4.4,0.15,3.72,-180.0,2.5161431383584496,1,DRUGLIKE_CONCAT,Druglike_342
OC1=CC2=C(C=C1[C@H](CF)CNCCC1=NON=C1)NCO2,21/000000234,"InChI=1S/C14H17FN4O3/c15-5-9(6-16-2-1-10-7-18-22-19-10)11-3-12-14(4-13(11)20)21-8-17-12/h3-4,7,9,16-17,20H,1-2,5-6,8H2/t9-/m1/s1",C14H17N4O3F,308.0,2.14,4.4,3.49,6.31,-190.0,4.245865370413807,1,DRUGLIKE_CONCAT,Druglike_343
NCCC/C(=C/CCC1=CC(O)=CC(C2=NNN=C2)=C1)C(=O)O,28/000000409,"InChI=1S/C16H20N4O3/c17-6-2-5-12(16(22)23)4-1-3-11-7-13(9-14(21)8-11)15-10-18-20-19-15/h4,7-10,21H,1-3,5-6,17H2,(H,22,23)(H,18,19,20)/b12-4-",C16H20N4O3,316.0,2.37,4.4,3.0,23.2,-120.0,3.0105627315537147,1,DRUGLIKE_CONCAT,Druglike_344
CCOC/C=C/CCCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000152,"InChI=1S/C16H21N3O2/c1-2-21-8-6-4-3-5-7-13-9-14(11-15(20)10-13)16-12-17-19-18-16/h4,6,9-12,20H,2-3,5,7-8H2,1H3,(H,17,18,19)/b6-4+",C16H21N3O2,287.0,4.01,4.4,1.97,19.6,-140.0,2.8724993581370875,1,DRUGLIKE_CONCAT,Druglike_345
OCC[C@@H](O)C/C=C/C1=CC(O)=CC=C1I,28/000000283,"InChI=1S/C12H15IO3/c13-12-5-4-11(16)8-9(12)2-1-3-10(15)6-7-14/h1-2,4-5,8,10,14-16H,3,6-7H2/b2-1+/t10-/m0/s1",C12H15O3I,334.0,2.32,4.4,7.0,3.58,-150.0,3.329730916897061,1,DRUGLIKE_CONCAT,Druglike_346
O=C(O)C1=CN=C(O)N=C1C/C=C/CBr,29/000000111,"InChI=1S/C9H9BrN2O3/c10-4-2-1-3-7-6(8(13)14)5-11-9(15)12-7/h1-2,5H,3-4H2,(H,13,14)(H,11,12,15)/b2-1+",C9H9N2O3Br,273.0,1.3,4.4,4.48,3.85,0.0,3.399663325182904,1,DRUGLIKE_CONCAT,Druglike_347
NCCC[C@@H](/C=C/C1=C(F)C=CC(F)=C1)NCO,16/000000094,"InChI=1S/C13H18F2N2O/c14-11-4-6-13(15)10(8-11)3-5-12(17-9-18)2-1-7-16/h3-6,8,12,17-18H,1-2,7,9,16H2/b5-3+/t12-/m0/s1",C13H18N2OF2,256.0,1.93,4.4,5.0,2.22,-150.0,3.3531877276805044,1,DRUGLIKE_CONCAT,Druglike_348
C[C@@H](O)CC/C=C/CNCC1=NC(O)=NC=C1C(=O)O,29/000000084,"InChI=1S/C13H19N3O4/c1-9(17)5-3-2-4-6-14-8-11-10(12(18)19)7-15-13(20)16-11/h2,4,7,9,14,17H,3,5-6,8H2,1H3,(H,18,19)(H,15,16,20)/b4-2+/t9-/m1/s1",C13H19N3O4,281.0,0.13,4.4,6.72,5.24,-170.0,3.668385859317789,1,DRUGLIKE_CONCAT,Druglike_349
CC(=O)OCCCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000215,"InChI=1S/C13H15N3O3/c1-9(17)19-4-2-3-10-5-11(7-12(18)6-10)13-8-14-16-15-13/h5-8,18H,2-4H2,1H3,(H,14,15,16)",C13H15N3O3,261.0,3.05,4.4,2.2,19.0,-140.0,2.577184840960415,1,DRUGLIKE_CONCAT,Druglike_350
O=C(C1=CC(F)=CC=C1O)[C@@H](O)C#CC1=NON=C1CCl,18/000000096,"InChI=1S/C13H8ClFN2O4/c14-6-10-9(16-21-17-10)2-4-12(19)13(20)8-5-7(15)1-3-11(8)18/h1,3,5,12,18-19H,6H2/t12-/m0/s1",C13H8N2O4FCl,310.0,2.2,4.39,5.63,3.58,-150.0,3.801810086576992,1,DRUGLIKE_CONCAT,Druglike_351
CC[C@@H](O)C/C=C/CCC1=CC=C(C(=O)C2=NC(=O)ON2)N1,23/000000120,"InChI=1S/C15H19N3O4/c1-2-11(19)7-5-3-4-6-10-8-9-12(16-10)13(20)14-17-15(21)22-18-14/h3,5,8-9,11,16,19H,2,4,6-7H2,1H3,(H,17,18,21)/b5-3+/t11-/m1/s1",C15H19N3O4,305.0,0.91,4.39,7.05,3.58,-170.0,3.905289207262443,1,DRUGLIKE_CONCAT,Druglike_352
O=C(O)C1=NC(C2=CC=C(CNCCCl)C(C(=O)O)=C2)=NN1,6/000000023,"InChI=1S/C13H13ClN4O4/c14-3-4-15-6-8-2-1-7(5-9(8)12(19)20)10-16-11(13(21)22)18-17-10/h1-2,5,15H,3-4,6H2,(H,19,20)(H,21,22)(H,16,17,18)",C13H13N4O4Cl,324.0,1.72,4.39,0.65,3.72,-180.0,2.677444668662167,1,DRUGLIKE_CONCAT,Druglike_353
CCC[C@H](O)C1=NC(O)=NC=C1C(=O)O,29/000000075,"InChI=1S/C9H12N2O4/c1-2-3-6(12)7-5(8(13)14)4-10-9(15)11-7/h4,6,12H,2-3H2,1H3,(H,13,14)(H,10,11,15)/t6-/m0/s1",C9H12N2O4,212.0,0.19,4.39,4.9,12.4,-170.0,3.4086696512617376,1,DRUGLIKE_CONCAT,Druglike_354
CCC#CC1=C(I)N=C([C@H](N)C2=NC=C(C(=O)O)N2)C=C1,26/000000147,"InChI=1S/C14H13IN4O2/c1-2-3-4-8-5-6-9(18-12(8)15)11(16)13-17-7-10(19-13)14(20)21/h5-7,11H,2,16H2,1H3,(H,17,19)(H,20,21)/t11-/m0/s1",C14H13N4O2I,396.0,1.43,4.39,3.66,22.6,-170.0,3.9585676462586905,1,DRUGLIKE_CONCAT,Druglike_355
C[C@H](N)C(=O)OCCCCC1=NC(O)=NC=C1C(=O)O,29/000000103,"InChI=1S/C12H17N3O5/c1-7(13)11(18)20-5-3-2-4-9-8(10(16)17)6-14-12(19)15-9/h6-7H,2-5,13H2,1H3,(H,16,17)(H,14,15,19)/t7-/m0/s1",C12H17N3O5,283.0,-0.02,4.39,6.2,3.85,-170.0,3.2676496355415656,1,DRUGLIKE_CONCAT,Druglike_356
NC1=CC=C(C#C[C@@H](O)CCCN2C=NN=C2)C(Cl)=C1,15/000000026,"InChI=1S/C14H15ClN4O/c15-14-8-12(16)5-3-11(14)4-6-13(20)2-1-7-19-9-17-18-10-19/h3,5,8-10,13,20H,1-2,7,16H2/t13-/m0/s1",C14H15N4OCl,290.0,3.64,4.39,0.49,3.58,-170.0,3.4981638055820508,1,DRUGLIKE_CONCAT,Druglike_357
CC[C@H](O)C1=NC(O)=NC=C1C(=O)O,29/000000094,"InChI=1S/C8H10N2O4/c1-2-5(11)6-4(7(12)13)3-9-8(14)10-6/h3,5,11H,2H2,1H3,(H,12,13)(H,9,10,14)/t5-/m0/s1",C8H10N2O4,198.0,-0.17,4.39,4.89,11.8,-170.0,3.441338334366174,1,DRUGLIKE_CONCAT,Druglike_358
CC(=O)C#CC1=CC=C(NC(=O)[C@H](O)C2=CCCO2)C=C1Cl,21/000000194,"InChI=1S/C16H14ClNO4/c1-10(19)4-5-11-6-7-12(9-13(11)17)18-16(21)15(20)14-3-2-8-22-14/h3,6-7,9,15,20H,2,8H2,1H3,(H,18,21)/t15-/m1/s1",C16H14NO4Cl,319.0,1.68,4.39,7.23,3.72,-170.0,3.6085447130998096,1,DRUGLIKE_CONCAT,Druglike_359
O=C(O)CCC/C=C\CCCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000441,"InChI=1S/C17H21N3O3/c21-15-10-13(9-14(11-15)16-12-18-20-19-16)7-5-3-1-2-4-6-8-17(22)23/h1-2,9-12,21H,3-8H2,(H,22,23)(H,18,19,20)/b2-1-",C17H21N3O3,315.0,3.84,4.39,-0.35,22.4,-140.0,2.737333479267539,1,DRUGLIKE_CONCAT,Druglike_360
OCC1=C(C2=NC(O)=NC=C2)NN=C1,23/000000026,"InChI=1S/C8H8N4O2/c13-4-5-3-10-12-7(5)6-1-2-9-8(14)11-6/h1-3,13H,4H2,(H,10,12)(H,9,11,14)",C8H8N4O2,192.0,-0.03,4.38,4.65,14.2,-120.0,3.097045585692138,1,DRUGLIKE_CONCAT,Druglike_361
CC(=O)OCCCCCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000155,"InChI=1S/C15H19N3O3/c1-11(19)21-6-4-2-3-5-12-7-13(9-14(20)8-12)15-10-16-18-17-15/h7-10,20H,2-6H2,1H3,(H,16,17,18)",C15H19N3O3,289.0,3.77,4.38,-0.6,20.2,-140.0,2.538941312739862,1,DRUGLIKE_CONCAT,Druglike_362
CCNCCC#CC1=CC2=C(C=C1)CC(C(=O)O)=C2,26/000000151,"InChI=1S/C16H17NO2/c1-2-17-8-4-3-5-12-6-7-13-10-15(16(18)19)11-14(13)9-12/h6-7,9,11,17H,2,4,8,10H2,1H3,(H,18,19)",C16H17NO2,255.0,2.31,4.38,6.12,17.4,-60.0,2.878502789678363,1,DRUGLIKE_CONCAT,Druglike_363
OC1=CC2=C(C=C1C#C[C@@H](Br)CCC1=NNN=C1)NCO2,21/000000154,"InChI=1S/C14H13BrN4O2/c15-10(3-4-11-7-17-19-18-11)2-1-9-5-12-14(6-13(9)20)21-8-16-12/h5-7,10,16,20H,3-4,8H2,(H,17,18,19)/t10-/m1/s1",C14H13N4O2Br,349.0,3.71,4.38,2.25,23.7,-190.0,4.290110121364139,1,DRUGLIKE_CONCAT,Druglike_364
